Updated 04/25/25 at 12:07am,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Ja'Marr Chase,WR1,WR,CIN,9999,25.2,No,WR1,9976,,0
Justin Jefferson,WR2,WR,MIN,9992,25.8,No,WR2,9517,,0
Malik Nabers,WR3,WR,NYG,9477,21.7,No,WR3,8543,,0
Jahmyr Gibbs,RB1,RB,DET,9109,23.1,No,RB1,8131,,0
Bijan Robinson,RB2,RB,ATL,8977,23.2,No,RB2,8107,,0
Brock Bowers,TE1,TE,LVR,8748,22.4,No,TE1,8118,,0
CeeDee Lamb,WR4,WR,DAL,8433,26.0,No,WR4,7911,,0
Brian Thomas Jr.,WR5,WR,JAC,8342,22.5,No,WR5,7626,,0
Amon-Ra St. Brown,WR6,WR,DET,8152,25.5,No,WR6,7531,,0
Puka Nacua,WR7,WR,LAR,8041,23.9,No,WR7,7511,,0
Ashton Jeanty,RB3,RB,FA,8035,-1.0,Yes,RB3,7154,,0
Josh Allen,QB1,QB,BUF,7897,28.9,No,QB1,9999,,0
Jayden Daniels,QB2,QB,WAS,7612,24.4,No,QB2,9996,,0
Nico Collins,WR8,WR,HOU,7389,26.1,No,WR9,6585,,0
Saquon Barkley,RB4,RB,PHI,7372,28.2,No,RB4,6533,,0
Trey McBride,TE2,TE,ARI,7370,25.4,No,TE2,6682,,0
Drake London,WR9,WR,ATL,7351,23.8,No,WR8,6599,,0
Lamar Jackson,QB3,QB,BAL,7341,28.3,No,QB3,9733,,0
Marvin Harrison Jr.,WR10,WR,ARI,7155,22.7,No,WR10,6509,,0
Jaxon Smith-Njigba,WR11,WR,SEA,7144,23.2,No,WR11,6477,,0
Ladd McConkey,WR12,WR,LAC,7069,23.5,No,WR12,6421,,0
2025 Early 1st,,PI,,7049,,,,6401,,0
Garrett Wilson,WR13,WR,NYJ,6859,24.8,No,WR13,6197,,0
De'Von Achane,RB5,RB,MIA,6851,23.5,No,RB5,6063,,0
A.J. Brown,WR14,WR,PHI,6757,27.8,No,WR14,6178,,0
Joe Burrow,QB4,QB,CIN,6583,28.4,No,QB4,8398,,0
Bucky Irving,RB6,RB,TBB,6542,22.7,No,RB7,5604,,0
Omarion Hampton,RB7,RB,FA,6530,-1.0,Yes,RB8,5585,,0
Breece Hall,RB8,RB,NYJ,6447,23.9,No,RB6,5606,,0
Tee Higgins,WR15,WR,CIN,6436,26.3,No,WR15,5629,,0
Jalen Hurts,QB5,QB,PHI,6434,26.7,No,QB5,8090,,0
Jonathan Taylor,RB9,RB,IND,6422,26.3,No,RB9,5500,,0
2026 Early 1st,,PI,,6380,,,,5652,,0
Rome Odunze,WR16,WR,CHI,6354,22.9,No,WR16,5596,,0
Kyren Williams,RB10,RB,LAR,6316,24.7,No,RB10,5384,,0
Sam LaPorta,TE3,TE,DET,6306,24.3,No,TE3,5442,,0
Tetairoa McMillan,WR17,WR,FA,6215,-1.0,Yes,WR18,5350,,0
2025 Mid 1st,,PI,,6209,,,,5389,,0
2027 Early 1st,,PI,,6205,,,,5518,,0
DeVonta Smith,WR18,WR,PHI,6174,26.4,No,WR19,5347,,0
Rashee Rice,WR19,WR,KCC,6170,25.0,No,WR17,5413,,0
TreVeyon Henderson,RB11,RB,FA,6089,-1.0,Yes,RB11,5061,,0
James Cook,RB12,RB,BUF,5924,25.6,No,RB12,4871,,0
Travis Hunter,WR20,WR,FA,5852,-1.0,Yes,WR20,5092,,0
Xavier Worthy,WR21,WR,KCC,5786,22.0,No,WR21,4830,,0
Christian McCaffrey,RB13,RB,SFO,5749,28.9,No,RB15,4750,,0
Zay Flowers,WR22,WR,BAL,5744,24.6,No,WR24,4761,,0
Jordan Addison,WR23,WR,MIN,5739,23.2,No,WR22,4795,,0
Kenneth Walker III,RB14,RB,SEA,5737,24.5,No,RB13,4804,,0
Josh Jacobs,RB15,RB,GBP,5692,27.2,No,RB14,4754,,0
Patrick Mahomes,QB6,QB,KCC,5677,29.6,No,QB6,7187,,0
Emeka Egbuka,WR24,WR,FA,5662,-1.0,Yes,WR23,4764,,0
DK Metcalf,WR25,WR,PIT,5652,27.4,No,WR26,4680,,0
D.J. Moore,WR26,WR,CHI,5648,28.0,No,WR25,4726,,0
Quinshon Judkins,RB16,RB,FA,5627,-1.0,Yes,RB16,4641,,0
Caleb Williams,QB7,QB,CHI,5613,23.4,No,QB8,6767,,0
Tyler Warren,TE4,TE,FA,5607,-1.0,Yes,TE4,4753.99,,0
2026 Mid 1st,,PI,,5566,,,,4769,,0
2025 Late 1st,,PI,,5563,,,,4615,,0
Jaylen Waddle,WR27,WR,MIA,5559,26.4,No,WR27,4653,,0
2027 Mid 1st,,PI,,5550,,,,4642,,0
Justin Herbert,QB8,QB,LAC,5543,27.1,No,QB7,6832,,0
Chris Olave,WR28,WR,NOS,5540,24.8,No,WR28,4651,,0
Jameson Williams,WR29,WR,DET,5531,24.1,No,WR29,4599,,0
C.J. Stroud,QB9,QB,HOU,5523,23.6,No,QB10,6688,,0
Terry McLaurin,WR30,WR,WAS,5522.99,29.6,No,WR30,4498,,0
Drake Maye,QB10,QB,NEP,5513,22.6,No,QB9,6756,,0
Chase Brown,RB17,RB,CIN,5461,25.1,No,RB17,4482,,0
Derrick Henry,RB18,RB,BAL,5444,31.3,No,RB18,4382,,0
Bo Nix,QB11,QB,DEN,5397,25.2,No,QB11,6486,,0
